,District,Member,Party,Prior experience,Education,Assumed office,Residence,Born,Age,Surname,link,gender
147,Illinois 16,Adam Kinzinger,Republican,McLean County Board of CommissionersAir Force pilot,Illinois State University (BA),2011,Channahon,1978-02-27,43,Kinzinger,/116559/adam-kinzinger,1
148,Illinois 17,Cheri Bustos,Democratic,East Moline City CouncilHealthcare executiveJournalist,"University of Maryland, College Park (BA)University of Illinois, Springfield (MA)",2013,Moline,1961-10-17,60,Bustos,/134964/cheri-bustos,0
149,Illinois 18,Darin LaHood,Republican,Illinois SenateProsecutor U.S. Attorney's OfficeDeputy Prosecutor Tazewell County,"Loras College (BA)John Marshall Law School, Chicago (JD)",2015 (special),Peoria,1968-07-05,53,LaHood,/128760/darin-lahood,1
150,Indiana 1,Frank J. Mrvan,Democratic,North Township Trustee,Ball State University (BS),2021,Highland,1969-04-16,52,Mrvan,/113775/frank-mrvan,1
151,Indiana 2,Jackie Walorski,Republican,Indiana House of Representatives,Liberty UniversityTaylor University (BA),2013,Elkhart,1963-08-17,58,Walorski,/34205/jackie-walorski,0
152,Indiana 3,Jim Banks,Republican,Indiana Senate,Indiana University Bloomington (BA)Grace College & Seminary (MBA),2017,Columbia City,1979-07-16,42,Banks,/116801/jim-banks,1
153,Indiana 4,Jim Baird,Republican,Indiana House of RepresentativesPutnam County Commission,"Purdue University, West Lafayette (BS, MS)University of Kentucky (PhD)",2019,Greencastle,1945-06-04,76,Baird,/86013/jim-baird,1
154,Indiana 5,Victoria Spartz,Republican,Indiana Senate,"Kyiv National Economic University (BS, MBA)Indiana University, Indianapolis (MAcc)",2021,Noblesville,1978-10-06,43,Spartz,/178203/victoria-spartz,0
155,Indiana 6,Greg Pence,Republican,Businessman,"Loyola University Chicago (BA, MBA)",2019,Columbus,1956-11-14,65,Pence,/177876/greg-pence,1
156,Indiana 7,André Carson,Democratic,Indianapolis City-County Council,Concordia University Wisconsin (BA)Indiana Wesleyan University (MS),2008 (special),Indianapolis,1974-10-16,47,Carson,/84917/andre-carson,1
157,Indiana 8,Larry Bucshon,Republican,Heart surgeon,University of Illinois at Urbana–Champaign (BS)University of Illinois at Chicago (MD),2011,Evansville,1962-05-31,59,Bucshon,/120335/larry-bucshon,1
158,Indiana 9,Trey Hollingsworth,Republican,CEO of Hollingsworth Capital Partners,University of Pennsylvania (BS)Georgetown University (MPP),2017,Jeffersonville,1983-09-12,38,Hollingsworth,/167423/trey-hollingsworth-iii,1
159,Iowa 1,Ashley Hinson,Republican,Iowa House of RepresentativesNews anchor,University of Southern California (BA),2021,Marion,1983-06-27,38,Hinson,/168783/ashley-hinson,0
160,Iowa 2,Mariannette Miller-Meeks,Republican,Iowa SenatePhysicianU.S. Army Lieutenant Colonel,"Texas Christian University (BS)University of Southern California (MS)University of Texas, San Antonio (MD)",2021,Ottumwa,1955-09-06,66,Miller-Meeks,/103294/mariannette-miller-meeks,0
161,Iowa 3,Cindy Axne,Democratic,Businesswoman,University of Iowa (BA)Northwestern University (MBA),2019,West Des Moines,1965-04-20,56,Axne,/179226/cindy-axne,0
162,Iowa 4,Randy Feenstra,Republican,Iowa Senate  Sioux County Treasurer,Dordt University (BA)Iowa State University (MPA),2021,Hull,1969-01-14,52,Feenstra,/103301/randy-feenstra,1
163,Kansas 1,Tracey Mann,Republican,Lieutenant Governor of Kansas  Real estate agent  Businessman,Kansas State University (BS),2021,Salina,1976-12-17,45,Mann,/125007/tracey-mann,1
164,Kansas 2,Jake LaTurner,Republican,Kansas State Treasurer  Kansas Senate,Pittsburg State University (BA),2021,Topeka,1988-02-17,33,LaTurner,/107024/jacob-laturner,1
165,Kansas 3,Sharice Davids,Democratic,AttorneyMixed martial artist,Haskell Indian Nations UniversityUniversity of KansasJohnson County Community CollegeUniversity of Missouri–Kansas City (BA)Cornell University (JD),2019,Roeland Park,1980-05-22,41,Davids,/181201/sharice-davids,0
166,Kansas 4,Ron Estes,Republican,Kansas State Treasurer,"Tennessee Technological University (BS, MBA)",2017 (special),Wichita,1956-07-19,65,Estes,/125031/ron-estes,1
167,Kentucky 1,James Comer,Republican,Kentucky House of RepresentativesAgriculture Commissioner of Kentucky,Western Kentucky University (BS),2016 (special),Tompkinsville,1972-08-19,49,Comer,/35169/james-comer-jr,1
168,Kentucky 2,Brett Guthrie,Republican,Kentucky Senate,United States Military Academy (BS)Yale University (MBA),2009,Bowling Green,1964-02-18,57,Guthrie,/18829/brett-guthrie,1
169,Kentucky 3,John Yarmuth,Democratic,"Newspaper publisherVice-President for University Relations, University of Louisville",Yale University (BA)Georgetown University,2007,Louisville,1947-11-04,74,Yarmuth,/58579/john-yarmuth,1
170,Kentucky 4,Thomas Massie,Republican,Judge-Executive of Lewis County,"Massachusetts Institute of Technology (BS, MS)",2012 (special),Garrison,1971-01-13,50,Massie,/132068/thomas-massie,1
171,Kentucky 5,Hal Rogers,Republican,Commonwealth's Attorney for Pulaski County and Rockcastle County,Western Kentucky University (BA)University of Kentucky (LLB),1981,Somerset,1937-12-31,84,Rogers,/26875/hal-rogers,1
172,Kentucky 6,Andy Barr,Republican,Attorney,University of Virginia (BA)University of Kentucky (JD),2013,Lexington,1973-07-24,48,Barr,/117290/andy-barr,1
173,Louisiana 1,Steve Scalise,Republican,Louisiana State SenateLouisiana House of Representatives,Louisiana State University (BS),2008 (special),Jefferson,1965-10-06,56,Scalise,/9026/steve-scalise,1
174,Louisiana 3,Clay Higgins,Republican,Reserve Deputy Marshal of Lafayette,Louisiana State University,2017,Lafayette,1961-08-24,60,Higgins,/174484/clay-higgins,1
175,Louisiana 4,Mike Johnson,Republican,Louisiana House of Representatives,"Louisiana State University (BA, JD)",2017,Benton,1972-01-30,49,Johnson,/156097/mike-johnson,1
176,Louisiana 6,Garret Graves,Republican,Louisiana Coastal Protection and Restoration Authority,University of AlabamaLouisiana Tech UniversityAmerican University,2015,Baton Rouge,1972-01-31,49,Graves,/155424/garret-graves,1
177,Maine 1,Chellie Pingree,Democratic,"Maine State Senate  President, Common Cause",University of Southern Maine  College of the Atlantic (BS),2009,North Haven,1955-04-02,66,Pingree,/6586/chellie-pingree,0
178,Maine 2,Jared Golden,Democratic,Maine House of Representatives,"University of Maine, FarmingtonBates College (BA)",2019,Lewiston,1982-07-25,39,Golden,/151420/jared-golden,1
179,Maryland 1,Andy Harris,Republican,Maryland State SenateAnesthesiologist,"Johns Hopkins University (BS, MD, MHS)",2011,Cockeysville,1957-01-25,64,Harris,/19157/andy-harris,1
180,Maryland 2,Dutch Ruppersberger,Democratic,Baltimore County ExecutiveChief of the Office of Investigative Division for Maryland's Department of JusticeBaltimore County Assistant State's Attorney,"Baltimore City CollegeUniversity of Maryland, College Park (BA)University of Baltimore (JD)",2003,Cockeysville,1946-01-31,75,Ruppersberger,/36130/dutch-ruppersberger,1
181,Maryland 3,John Sarbanes,Democratic,AttorneyLaw clerk,Princeton University (BA)Harvard University (JD),2007,Baltimore,1962-05-22,59,Sarbanes,/66575/john-sarbanes,1
182,Maryland 4,Anthony G. Brown,Democratic,Lieutenant Governor of MarylandMaryland House of Delegates,"Harvard University (BA, JD)",2017,Bowie,1961-11-21,60,Brown,/19344/anthony-brown,1
183,Maryland 5,Steny Hoyer,Democratic,President of the Maryland State SenateMaryland Board of Higher Education,"University of Maryland, College Park (BA)Georgetown University (JD)",1981 (special),Mechanicsville,1939-06-14,82,Hoyer,/26890/steny-hoyer,1
184,Maryland 6,David Trone,Democratic,Businessman,Furman University (BA)University of Pennsylvania (MBA),2019,Potomac,1955-09-21,66,Trone,/167336/david-trone,1
185,Maryland 7,Kweisi Mfume,Democratic,Baltimore City Council U.S. House President of the NAACP,Baltimore City Community CollegeMorgan State University (BA)Johns Hopkins University (MA),2020 (special),Baltimore,1948-10-24,73,Mfume,/26892/kweisi-mfume,1
186,Maryland 8,Jamie Raskin,Democratic,Maryland State Senate Majority Whip,"Harvard University (BA, JD)",2017,Takoma Park,1962-12-13,59,Raskin,/65904/jamie-raskin,1
187,Massachusetts 1,Richard Neal,Democratic,Mayor of Springfield,Holyoke Community CollegeAmerican International College (BA)University of Hartford (MA),1989,Springfield,1949-02-14,72,Neal,/26895/richard-neal,1
188,Massachusetts 2,Jim McGovern,Democratic,Congressional staff member,"American University (BA, MPA)",1997,Worcester,1959-11-20,62,McGovern,/552/jim-mcgovern,1
189,Massachusetts 3,Lori Trahan,Democratic,"Businesswoman, Chief of Staff to Rep. Marty Meehan",Georgetown University (BA),2019,Westford,1973-10-27,48,Trahan,/182310/lori-trahan,0
190,Massachusetts 4,Jake Auchincloss,Democratic,Newton City Council,Harvard University (BA)Massachusetts Institute of Technology (MBA),2021,Newton,1988-01-29,33,Auchincloss,/173832/jake-auchincloss,1
191,Massachusetts 5,Katherine Clark,Democratic,Massachusetts SenateMassachusetts House of RepresentativesAttorney,St. Lawrence University (BA)Cornell University (JD)Harvard University (MPA),2013 (special),Melrose,1963-07-17,58,Clark,/35858/katherine-clark,0
192,Massachusetts 6,Seth Moulton,Democratic,BusinessmanActivistU.S. Marine Corps Captain,"Harvard University (BS, MBA, MPP)",2015,Salem,1978-10-24,43,Moulton,/146299/seth-moulton,1
193,Massachusetts 7,Ayanna Pressley,Democratic,Boston City Council,Boston University,2019,Boston,1974-02-03,47,Pressley,/122700/ayanna-pressley,0
194,Massachusetts 8,Stephen F. Lynch,Democratic,Massachusetts SenateMassachusetts House of Representatives,Wentworth Institute of Technology (BS)Boston College (JD)Harvard University (MPA),2001 (special),Boston,1955-03-31,66,Lynch,/4844/stephen-lynch,1
195,Massachusetts 9,Bill Keating,Democratic,Massachusetts House of RepresentativesMassachusetts SenateNorfolk County District Attorney,"Boston College (BA, MBA)Suffolk University (JD)",2011,Bourne,1952-09-06,69,Keating,/4743/bill-keating,1
196,Michigan 1,Jack Bergman,Republican,U.S. Marine Corps Lieutenant General,Gustavus Adolphus College (BA)University of West Florida (MBA),2017,Watersmeet,1947-02-02,74,Bergman,/170172/jack-bergman,1
197,Michigan 2,Bill Huizenga,Republican,Michigan House of Representatives,Calvin College (BA),2011,Holland,1969-01-31,52,Huizenga,/38351/bill-huizenga,1
198,Michigan 3,Peter Meijer,Republican,Businessman,United States Military AcademyColumbia University (BA)New York University (MBA),2021,Grand Rapids,1988-01-10,33,Meijer,/191586/peter-meijer,1
199,Michigan 4,John Moolenaar,Republican,Michigan SenateMichigan House of Representatives,Hope College (BS)Harvard University (MPA),2015,Midland,1961-05-08,60,Moolenaar,/37676/john-moolenaar,1
200,Michigan 5,Dan Kildee,Democratic,Genesee County Treasurer,University of Michigan–FlintCentral Michigan University (BS),2013,Flushing,1958-08-11,63,Kildee,/136102/dan-kildee,1
201,Michigan 6,Fred Upton,Republican,U.S. government administrator,University of Michigan (BA),1987,St. Joseph,1953-04-23,68,Upton,/26906/fred-upton,1
