,District,Member,Party,Prior experience,Education,Assumed office,Residence,Born,Age,Surname,link,gender
324,Pennsylvania 5,Mary Gay Scanlon,Democratic,Attorney,Colgate University (BA)University of Pennsylvania (JD),2018 (special),Swarthmore,1959-08-30,62,Scanlon,/178890/mary-scanlon,0
325,Pennsylvania 6,Chrissy Houlahan,Democratic,EntrepreneurU.S. Air Force,Stanford University (BS)Massachusetts Institute of Technology (MS),2019,Devon,1967-06-05,54,Houlahan,/178893/chrissy-houlahan,0
326,Pennsylvania 7,Susan Wild,Democratic,Solicitor of Allentown,American University (BA)George Washington University (JD),2018 (special),Allentown,1957-06-07,64,Wild,/178895/susan-wild,0
327,Pennsylvania 8,Matt Cartwright,Democratic,Attorney,"Hamilton College, New York (BA)University of Pennsylvania (JD)",2013,Moosic,1961-05-01,60,Cartwright,/136236/matt-cartwright,1
328,Pennsylvania 9,Dan Meuser,Republican,Secretary of Revenue of Pennsylvania,State University of New York Maritime CollegeCornell University,2019,Dallas,1964-02-10,57,Meuser,/102438/dan-meuser,1
329,Pennsylvania 10,Scott Perry,Republican,Pennsylvania House of RepresentativesBusinessmanU.S. Army,Pennsylvania State University (BS)United States Army War College (MS),2013,Dillsburg,1962-05-27,59,Perry,/59980/scott-perry,1
330,Pennsylvania 11,Lloyd Smucker,Republican,Pennsylvania Senate,Lebanon Valley CollegeFranklin and Marshall College,2017,Lancaster,1964-01-23,57,Smucker,/102454/lloyd-smucker,1
331,Pennsylvania 12,Fred Keller,Republican,Pennsylvania House of Representatives,–,2019 (special),Middleburg,1965-10-23,56,Keller,/119553/fred-keller,1
332,Pennsylvania 13,John Joyce,Republican,Dermatologist,"Pennsylvania State University, AltoonaPennsylvania State University, University Park (BS)Temple University (MD)",2019,Hollidaysburg,1957-02-08,64,Joyce,/178911/john-joyce,1
333,Pennsylvania 14,Guy Reschenthaler,Republican,Pennsylvania SenateJudgeU.S. Navy,"Pennsylvania State University, Behrend (BA)Duquesne University (JD)",2019,Peters Township,1983-04-17,38,Reschenthaler,/166004/guy-reschenthaler,1
334,Pennsylvania 15,Glenn Thompson,Republican,Chair of the Centre County Republican Committee,Pennsylvania State University (BS)Temple University (MEd),2009,Howard,1959-07-27,62,Thompson,/24046/gt-thompson-jr,1
335,Pennsylvania 16,Mike Kelly,Republican,Butler City Council,University of Notre Dame (BA),2011,Butler,1948-05-10,73,Kelly,/119463/mike-kelly-jr,1
336,Pennsylvania 17,Conor Lamb,Democratic,Assistant U.S. Attorney for the Western District of PennsylvaniaU.S. Marine Corps,"University of Pennsylvania (BA, JD)",2018 (special),Mt. Lebanon,1984-06-27,37,Lamb,/177656/conor-lamb,1
337,Pennsylvania 18,Mike Doyle,Democratic,Pennsylvania State Senate Chief of Staff,Pennsylvania State University (BS),1995,Pittsburgh,1953-08-05,68,Doyle,/21853/mike-doyle-jr,1
338,Rhode Island 1,David Cicilline,Democratic,Mayor of ProvidenceRhode Island House of Representatives,Brown University (BA)Georgetown University (JD),2011,Providence,1961-07-15,60,Cicilline,/7349/david-cicilline,1
339,Rhode Island 2,James Langevin,Democratic,Secretary of State of Rhode IslandRhode Island House of Representatives,Rhode Island College (BA)Harvard University (MPA),2001,Warwick,1964-04-22,57,Langevin,/55787/jim-langevin,1
340,South Carolina 1,Nancy Mace,Republican,South Carolina House of Representatives,The Citadel (BS)University of Georgia (MS),2021,Charleston,1977-12-04,44,Mace,/146076/nancy-mace,0
